ID   Visits   Income   Sex   Age   Size
477   0   10.92   1   3.40   2
478   79   10.53   1   3.58   4
479   1   10.53   0   3.50   4
480   5   10.66   1   3.71   2
481   0   10.92   0   3.74   4
482   0   10.77   1   4.09   2
483   8   11.38   1   3.89   3
484   0   11.19   1   3.56   2
485   1    9.77   0   3.04   1
486   0   10.53   1   3.47   2
487   0   10.02   1   3.09   1
488   0   11.74   0   3.83   2
489   1   11.38   1   3.83   3
490   0   10.92   1   3.61   3
491   0   10.22   1   3.85   2
492   0   11.38   1   3.64   3
493   0   10.66   1   3.47   2
494   0   11.19   0   1.39   2
495   0   11.08   0   4.22   3
496   2   11.74   1   3.99   2
497   0   10.39   0   3.93   2
498   0    9.53   1   3.95   5
499   1   10.92   1   3.99   2
500   0   11.38   1   3.99   2
501   0   11.08   0   2.40   4
502   0   10.53   1   2.83   7
503   0     9.53   1   4.19   1
504   0   11.08   0   4.06   1
505   0   11.38   1   3.69   4
506   0   10.66   0   3.50   3
507   3    9.77   0   4.17   1
508   0   11.38   0   4.57   4
509   0   11.38   0   4.06   4
510   0   11.74   0   4.13   2
511   0   10.22   0   3.64   6
512   0   11.74   0   4.39   2
513   2   10.22   0   4.13   1
514   2   12.21   0   3.71   4
515   1   10.22   1   3.81   5
516   16   11.74   0   4.08   2
517   0   11.08   1   3.58   2
518   0   10.53   0   4.25   2
519   5   11.38   0   3.78   5
520   0   10.92   1   4.03   3
521   0   10.92   0   4.03   3
522   1   11.19   0   4.03   2
523   0   10.92   1   3.53   4
524   0   11.74   1   4.03   4
525   0   11.38   1   4.09   2
526   1   10.66   0   4.01   2
527   0   10.77   0   3.69   2
528   0   11.08   1   3.97   2
529   0   11.08   0   4.03   2
530   0   11.74   1   2.71   4
531   0   10.39   0   4.20   1
532   0   11.38   1   3.00   2
533   0   11.08   1   2.71   4
534   0   11.08   0   3.69   4
535   0   10.92   1   4.04   2
536   0   10.92   1   3.64   2
537   0   11.38   1   3.95   3
538   0   10.92   0   3.85   3
539   0   10.92   0   2.71   3
540   1   10.39   0   4.32   1
541   2   11.19   0   4.13   2
542   10   11.74   0   3.64   2
543   16   11.74   0   3.64   2
544   0   10.92   0   4.16   2
545   1   10.53   0   3.78   1
546   5   10.22   0   3.64   1
547   0   10.39   0   3.95   1
548   1   11.12   1   3.89   6
549   0   10.92   0   4.08   2
550   0   10.22   1   3.76   6
551   0   11.08   0   4.25   2
552   5   11.74   1   4.17   2
553   0   11.74   1   3.87   3
554   0    9.33   1   3.95   1
555   0   11.08   1   3.04   4
556   0   10.92   1   3.99   2
557   1   10.39   0   4.03   2
558   0   12.21   0   3.74   4
559   3   10.53   0   3.74   1
560   0   11.08   0   3.81   4
561   0   10.66   1   2.64   4
562   0   10.53   0   3.69   2
563   22   11.38   0   3.40   2
564   0   10.53   0   3.66   4
565   0   10.53   0   3.85   2
566   0   10.82   0   4.06   2
567   2   10.53   1   3.91   2
568   0   10.92   0   3.89   4
569   3   11.19   1   3.56   4
570   0   10.39   1   2.77   5
571   0   11.19   1   2.89   5
572   0   11.74   1   3.87   2
573   0   11.12   1   3.40   5
574   0   11.74   1   3.58   3
575   1   11.08   1   3.50   3
576   0   11.38   1   3.22   5
577   0   10.31   1   3.30   5
578   0   10.77   0   3.93   2
579   0   12.21   1   3.78   2
580   0   11.08   0   3.37   2
581   0   10.53   0   2.89   5
582   1   11.08   0   3.47   3
583   0   11.08   0   3.83   3
584   5    9.77   1   3.91   1
585   0   11.38   0   3.78   4
586   2   11.74   0   3.91   2
587   0   11.74   1   4.01   5
588   0   10.82   1   4.04   3
589   0   10.31   1   4.09   3
590   0   11.74   0   3.74   2
591   0   11.19   1   4.23   2
592   0   10.77   0   4.14   2
593   0   10.77   1   3.74   4
594   0   11.38   1   2.83   4
595   15   11.74   0   3.99   2
596   1   11.74   0   3.78   7
597   0   11.19   1   3.99   2
598   0   11.74   1   3.66   4
599   0   10.31   1   3.78   2
600   0   11.92   1   3.81   4
601   0   11.38   0   3.85   4
602   0   11.38   1   3.74   2
603   0   11.38   0   4.25   2
604   0   10.92   0   3.78   6
605   0   11.12   0   3.69   5
606   2   11.19   1   3.71   3
607   0   11.08   1   3.40   3
608   0   11.12   1   3.93   3
609   0   11.12   1   3.50   2
610   0   10.92   0   2.77   4
611   0   10.02   1   3.18   3
612   0   11.38   1   3.33   5
613   1   11.19   1   3.87   3
614   0   11.38   1   3.83   2
615   0   10.92   1   4.03   2
616   0   11.74   1   4.04   2
617   0   10.82   1   3.58   3
618   2   10.82   1   3.64   7
619   1   10.77   0   3.71   2
620   0   11.12   1   2.48   7
621   0   11.12   0   3.69   7
622   1   10.39   0   3.22   3
623   2   10.39   0   3.14   3
624   0   11.12   1   3.97   3
625   0   11.38   1   3.56   1
626   0   10.31   0   3.37   2
627   0   10.92   1   3.66   4
628   0   11.12   0   3.04   4
629   1   10.77   0   3.69   2
630   0   11.08   1   4.09   4
631   0   10.82   1   3.22   6
632   0   11.38   0   3.61   3
633   0   10.31   1   2.77   2
634   0   10.82   1   4.28   3
635   1   10.31   0   3.89   6
636   1    9.90   1   3.09   2
637   0    9.90   0   2.77   2
638   0   11.19   0   4.13   2
639   1   10.82   1   3.43   5
640   0   11.38   1   2.71   6
641   1    9.90   1   3.33   2
642   0   10.66   1   3.58   3
643   1   10.53   1   3.66   3
644   0   10.53   1   3.95   2
645   0   10.82   1   3.93   4
646   0   10.82   0   3.93   4
647   0   11.08   0   3.47   2
648   12   10.82   1   3.40   6
649   8   11.08   1   3.66   6
650   0   11.08   1   2.20   6
651   0   11.08   0   2.89   6
652   0   11.08   0   2.71   6
653   1   11.38   0   3.95   3
654   0   10.53   1   4.04   2
655   2   11.38   0   3.78   3
656   0   10.39   1   3.69   2
657   1   10.77   0   4.22   2
658   0   10.92   1   3.66   7
659   5   10.66   0   3.56   5
660   0   12.07   1   2.40   4
661   0   10.82   1   2.77   4
662   0   10.82   0   3.93   4
663   0   10.31   1   3.33   4
664   2   10.66   1   3.47   1
665   0   11.38   1   3.69   5
666   0   11.12   0   2.48   5
667   0   10.31   1   3.56   2
668   0   10.31   1   2.64   5
669   0   11.19   1   3.33   2
670   0   10.39   1   2.77   4
671   0   10.31   1   3.40   4
672   0   10.82   1   3.61   2
673   0   10.22   0   3.18   3
674   0   11.74   1   3.43   2
675   3   11.19   0   4.20   2
676   0   12.21   1   2.71   5
677   0   11.38   1   3.61   5
678   0   10.92   1   3.40   3
679   0   11.08   1   3.81   3
680   0   11.38   1   3.91   2
681   0   10.66   0   3.97   3
682   0   10.22   1   3.40   3
683   0   10.02   1   4.16   3
684   1   10.92   0   3.78   3
685   0   11.74   0   3.78   6
686   0   11.74   0   3.64   4
687   0   10.31   0   3.99   7
688   0   10.31   1   2.83   4
689   0   10.82   1   3.89   3
690   0   10.31   1   4.03   2
691   2   10.31   0   3.18   3
692   0    9.90   1   3.58   2
693   1   11.12   1   3.58   5
694   1   10.31   1   3.53   5
695   0   10.53   1   3.37   3
696   3   11.38   1   3.30   3
697   0   11.38   0   3.74   3
698   0   11.38   1   2.71   4
699   0   11.38   0   4.13   3
700   0   10.53   0   3.78   2
701   0   10.82   1   3.30   2
702   0   10.82   0   4.06   3
703   0   11.92   1   3.30   4
704   0   10.77   1   3.30   3
705   2   10.31   1   3.89   6
706   0   11.12   1   4.04   3
707   0   11.38   1   3.40   3
708   0   11.12   0   3.71   5
709   0   10.22   1   3.74   3
710   0   10.39   1   4.09   2
711   1   10.31   1   4.08   3
712   0   11.19   1   4.04   2
713   5   11.38   1   3.33   8
714   0   10.82   0   3.76   2
715   0   11.12   1   3.00   4
716   7   10.31   1   3.85   2
717   0   11.38   0   3.93   6
718   0   10.82   1   3.26   4
719   1    9.90   1   3.26   3
720   0   11.74   1   3.71   5
721   0   11.74   1   2.89   4
722   0   11.74   1   3.78   4
723   1   11.38   1   3.74   4
724   2   11.74   1   4.03   4
725   0    9.77   0   3.91   2
726   3   11.38   1   4.03   3
727   0   11.08   0   4.23   2
728   3   11.08   0   4.13   2
729   0   11.38   1   3.99   2
730   0   10.39   1   3.95   1
731   0   11.08   1   4.13   2
732   0   10.82   1   3.91   3
733   0   11.38   0   3.87   2
734   0   11.08   0   4.09   2
735   0   10.82   1   3.97   2
736   1   10.92   1   3.64   1
737   0   11.38   1   3.43   2
738   0   11.38   1   3.83   2
739   0   10.53   0   4.09   2
740   0   10.31   0   3.43   3
741   1   10.82   1   3.61   6
742   6   10.82   1   3.81   3
743   4   10.82   0   3.97   3
744   1   10.66   0   4.20   1
745   0   10.53   1   3.83   4
746   0   11.74   1   3.89   2
747   0   11.38   1   3.47   2
748   1   11.38   0   3.89   4
749   0   10.39   0   4.16   2
750   1   11.38   1   3.69   3
751   1   10.02   0   4.17   2
752   0   11.08   1   2.71   4
753   1   10.77   1   3.78   3
754   0   11.74   0   3.85   6
755   0   10.31   1   3.30   5
756   0   10.31   1   3.56   4
757   0   10.82   1   3.85   5
758   1   10.82   1   3.22   3
759   0   11.38   1   3.58   2
760   0   10.22   1   3.58   3
761   0   10.31   1   2.89   4
762   0   11.38   0   3.74   6
763   0   10.77   0   3.91   2
764   0   11.74   0   3.69   4
765   0   10.82   0   3.40   4
766   0   11.38   1   3.47   2
767   0   10.53   1   3.69   4
768   1   11.08   1   3.69   2
769   0    9.33   1   3.69   3
770   1   11.38   1   3.91   5
771   10   11.38   0   3.91   5
772   0   11.38   1   3.71   2
773   0   10.77   0   3.76   1
774   0   11.38   0   3.56   5
775   0   11.38   0   3.85   2
776   0   10.92   0   3.56   3
777   0   10.31   1   3.53   5
778   0   11.08   1   4.04   2
779   0   11.74   1   3.89   3
780   0   10.82   1   3.22   3
781   0   11.38   1   3.78   2
782   0   10.39   1   3.58   4
783   0   10.77   1   3.74   5
784   0   11.19   0   4.01   4
785   0   11.19   0   2.83   4
786   0   10.02   1   2.56   3
787   0   10.31   0   3.71   2
788   0   10.92   0   3.76   3
789   0   11.08   1   3.40   2
790   0   11.74   1   3.66   2
791   2   11.12   1   3.61   4
792   0   11.74   1   3.78   3
793   0   10.92   1   4.08   2
794   0   11.38   1   3.37   3
795   0   11.38   1   3.76   3
796   0   11.38   0   4.11   3
797   0   10.02   1   3.43   2
798   0   10.31   1   3.30   5
799   0   11.12   1   3.37   4
800   0   10.39   1   3.83   4
801   0   10.39   1   2.64   4
802   0   10.82   1   3.69   3
803   0   10.82   1   3.83   3
804   0   11.19   1   3.81   3
805   0   11.38   1   3.69   3
806   0   11.12   1   3.97   2
807   0   10.22   0   3.40   4
808   0   10.82   1   3.69   5
809   0   11.19   1   4.14   2
810   0   11.19   0   4.17   2
811   0   10.02   1   4.17   3
812   0   10.92   0   3.81   5
813   0   11.08   0   3.93   4
814   0   10.77   1   3.26   1
815   3   11.08   1   3.47   5
816   2   10.22   1   3.58   6
817   1   10.53   1   3.53   3
818   10   11.08   0   3.37   2
819   0   10.66   1   3.76   1
820   1   10.22   1   3.47   2
821   0   10.22   1   1.79   2
822   1   12.07   1   3.81   2
823   0   11.38   1   3.81   3
824   0   10.53   1   3.64   5
825   1   10.77   1   3.56   3
826   1   10.92   1   4.13   2
827   0   10.02   1   2.40   4
828   0   10.02   0   3.43   1
829   0    9.77   0   4.14   2
830   0   10.77   1   2.56   3
831   0   11.08   0   3.74   4
832   0   10.92   1   2.71   4
833   0   11.38   1   3.66   4
834   0    9.77   1   3.74   2
835   8   11.08   1   4.01   3
836   0   11.74   1   3.89   5
837   0   11.74   0   3.97   5
838   1   11.74   0   3.18   5
839   2   11.74   1   4.17   2
840   7   11.19   1   4.19   2
841   0    9.77   1   3.37   3
842   1   11.08   0   4.08   2
843   0   10.66   1   3.95   3
844   6   10.92   1   3.66   2
845   0   11.74   1   3.85   3
846   0   10.22   1   3.64   3
847   0   10.22   0   3.66   3
848   0   11.38   1   2.83   5
849   0   10.92   0   3.37   2
850   0    9.77   1   3.71   2
851   1   10.39   0   3.26   1
852   1   10.02   1   3.56   4
853   0   10.92   0   2.94   4
854   0   11.19   0   3.47   2
855   0   10.39   1   3.93   2
856   0   10.77   1   3.81   3
857   0   11.08   0   3.83   1
858   0   10.22   1   3.26   2
859   0    9.77   1   3.22   2
860   0   10.77   1   3.37   2
861   0   10.22   0   3.83   1
862   0   10.53   1   3.74   1
863   0   10.02   0   3.14   3
864   0   12.21   0   3.64   3
865   2   10.39   1   3.58   3
866   1    9.77   1   3.30   4
867   1   10.02   1   4.04   1
868   2   11.74   1   3.61   1
869   0   11.08   0   3.50   4
870   0   10.77   1   3.33   3
871   1   10.02   1   3.53   2
